sl no,District,Block,School Name,UDISE Code
1821,Zunheboto,Zunheboto,GPS Lochomi,13040100301
1822,Zunheboto,Zunheboto,GPS Naltoqa,13040104805
1823,Zunheboto,Zunheboto,GPS Yezami,13040102401
1824,Zunheboto,Zunheboto,GMS Alhahuto,13040105601
1825,Zunheboto,Zunheboto,GMS Baimho,13040102501
1826,Zunheboto,Zunheboto,GPS New Land,13040101701
1827,Zunheboto,Zunheboto,GPS Shotomi,13040101901
1828,Zunheboto,Zunheboto,GMS Dc Hill,13040105401
1829,Zunheboto,Zunheboto,GMS Natha Old,13040102101
1830,Zunheboto,Zunheboto,GPS Dc Hill West,13040105404
1831,Zunheboto,Zunheboto,GHS South Point East,13040105305
1832,Zunheboto,Zunheboto,GMS Kawoto,13040102701
1833,Zunheboto,Zunheboto,GPS Project East Colony,13040105105
1834,Zunheboto,Zunheboto,GPS Lizu Avikato,13040100801
1835,Zunheboto,Zunheboto,GPS Lizu Naghuto,13040102601
1836,Zunheboto,Zunheboto,GPS Lizu New,13040100701
1837,Zunheboto,Zunheboto,GMS Nito Mount,13040102901
1838,Zunheboto,Zunheboto,GMS North Point,13040105901
1839,Zunheboto,Zunheboto,GPS Hekiye,13040100401
1840,Zunheboto,Zunheboto,GPS Khuwoboto,13040105801
1841,Zunheboto,Zunheboto,GMS Phuye New,13040103501
1842,Zunheboto,Zunheboto,GPS Phuye Old,13040103601
1843,Zunheboto,Zunheboto,GHS Sapoti,13040103701
1844,Zunheboto,Zunheboto,GMS Tichipa,13040103802
1845,Zunheboto,Zunheboto,GPS Kholeboto,13040103301
1846,Zunheboto,Zunheboto,GPS Zhekuto,13040104401
1847,Zunheboto,Zunheboto,GMS Sukhalu,13040102201
1848,Zunheboto,Zunheboto,GPS Yemishe,13040102301
1849,Zunheboto,Zunheboto,GHS Suruhuto,13040103901
1850,Zunheboto,Zunheboto,GPS Suruhuto B,13040104001
1851,Zunheboto,Zunheboto,GMS Surumi,13040104102
1852,Zunheboto,Zunheboto,GPS Surumi South,13040104104
1853,Zunheboto,Zunheboto,GMS Medical Colony Suruhuto,13040103401
1854,Zunheboto,Zunheboto,GMS Yehemi,13040104301
1855,Zunheboto,Zunheboto,GPS Kiyetha,13040103201
1856,Zunheboto,Zunheboto,GPS Vedami,13040104601
1857,Zunheboto,Zunheboto,GMS New Colony,13040105503
1858,Zunheboto,Zunheboto,GMS Laghilato,13040104901
1859,Zunheboto,Zunheboto,GMS Old Town Zunheboto,13040105701
1860,Zunheboto,Zunheboto,GPS Project West,13040105106
1861,Zunheboto,Zunheboto,GPS Sheyipu,13040101801
1862,Zunheboto,Zunheboto,GHS Shovishe Memorial Project Colony,13040105101
1863,Zunheboto,Zunheboto,GHSS Zunheboto,13040105704
